来源文件,用户ID,交易单号,账户假名,账户真实姓名,借贷类型,资金方向_按账户,交易业务类型,交易用途类型,原始交易时间,映射案情时间,时间映射规则,时间映射说明,交易金额_元,账户余额_元,对手方ID,对手假名,对手真实姓名,对手侧银行名称,备注,是否案件映射人物,是否案件核心对手方
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,98.0,张三,王静,出,支出,余额支付,转账,2024-11-01 23:02:00,2008-08-30 12:55:06,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,80,70,H3luh3lu1215,张夏天,王静,,微信转账；微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,99.0,张三,王静,入,收入,余额支付,转账,2024-11-03 23:56:00,2008-08-30 14:30:52,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,10,80,lijinteng971018,张三,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,100.0,张三,王静,出,支出,余额支付,转账,2024-11-03 23:56:00,2008-08-30 14:30:52,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,80,0,H3luh3lu1215,张夏天,王静,,微信转账；微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,101.0,张三,王静,入,收入,快捷支付,转账,2024-11-04 23:30:00,2008-08-30 15:17:02,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,120,120,lijinteng971018,张三,王静,光大银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,102.0,张三,王静,出,支出,余额支付,转账,2024-11-04 23:31:00,2008-08-30 15:17:04,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,40,80,H3luh3lu1215,张夏天,王静,,微信转账；微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,103.0,张三,王静,入,收入,快捷支付,转账,2025-01-29 00:19:00,2008-09-01 03:46:23,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,188,268,dddorz-,饶蝶,杨周武之妻何晓初,中国银行,微信红包；发发,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,104.0,张三,王静,出,支出,快捷支付,转账,2025-02-05 19:26:00,2008-09-01 11:56:00,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,2000,0,Vns_JOJOD3,周芷,杨周武之妻何晓初,,微信转账；微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,105.0,张三,王静,入,收入,余额支付,转账,2025-02-13 01:57:00,2008-09-01 19:32:39,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,18.88,286.88,dddorz-,饶蝶,杨周武之妻何晓初,,微信红包；恭喜发财，大吉大利,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,106.0,张三,王静,入,收入,快捷支付,转账,2025-03-21 01:43:00,2008-09-03 09:12:51,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,50,336.88,dddorz-,饶蝶,杨周武之妻何晓初,中国银行,微信红包；恭喜发财，大吉大利,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,107.0,张三,王静,入,收入,快捷支付,转账,2025-04-04 02:00:00,2008-09-03 23:52:48,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,50,386.88,dddorz-,饶蝶,杨周武之妻何晓初,中国银行,微信红包；臭的kfc,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,110.0,张三,王静,入,收入,快捷支付,转账,2025-05-01 01:33:00,2008-09-05 10:01:46,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,300,656.48,lijinteng971018,张三,王静,光大银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,111.0,张三,王静,出,支出,余额支付,转账,2025-05-01 01:33:00,2008-09-05 04:07:14,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,588,68.48,Vns_JOJOD3,周芷,杨周武之妻何晓初,,微信转账；微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,112.0,张三,王静,出,支出,余额支付,转账,2025-05-01 01:35:00,2008-09-05 04:07:19,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,28,40.48,Vns_JOJOD3,周芷,杨周武之妻何晓初,,微信转账；微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,117.0,张三,王静,出,支出,快捷支付,转账,2025-05-18 20:59:00,2008-09-05 22:45:41,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,2000,0,Vns_JOJOD3,周芷,杨周武之妻何晓初,,微信转账；微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,118.0,张三,王静,入,收入,快捷支付,转账,2025-05-18 20:59:00,2008-09-05 23:59:00,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,5000,5014.48,lijinteng971018,张三,王静,光大银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,119.0,张三,王静,出,支出,余额支付,转账,2025-05-18 22:12:00,2008-09-05 22:48:52,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,500,4514.48,Vns_JOJOD3,周芷,杨周武之妻何晓初,,微信转账；微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,121.0,张三,王静,出,支出,余额支付,转账,2025-05-20 01:00:00,2008-09-05 23:59:00,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,1500,2996.48,Vns_JOJOD3,周芷,杨周武之妻何晓初,,微信转账；微信转账,True,True
